         SN     survey          z            chisq     dof          DayMax   RestFrameMag_0_B                  X0                  X1                Color                 Skew     DayMax_coverr        DayMax_err   RestFrameMag_0_B_coverr   RestFrameMag_0_B_err           X0_coverr              X0_err           X1_coverr              X1_err         Skew_coverr            Skew_err      Color_coverr         Color_err          CovDayMaxX0   CovDayMaxRestFrameMag_0_B          CovDayMaxX1        CovDayMaxSkew       CovDayMaxColor              CovX0X1            CovX0Skew           CovX0Color   CovRestFrameMag_0_BX1   CovRestFrameMag_0_BSkew   CovRestFrameMag_0_BColor            CovX1Skew           CovX1Color         CovSkewColor  
  Lancaster   RiessHST       1.23     8.9539148352    13.0   53434.3963966      26.0727285473   6.59190162556e-07     -0.559523739538       0.121997502191         2.3897100535     9.29199192799     10.9944219222              8.3148005334          8.68003769765   9.37523542347e-08   8.54116311164e-08       5.12173835241       5.13069711057      260135092254.0       103973149.345   0.0759486296489   0.0752687103621    6.85910563371e-08                41.085472547        -39.440346483       -1888788622.48     -0.0483465485839   -2.78998389327e-07       -142.877567971   -4.09185349574e-09          -18.2639625946           -256021888298.0           -0.0263619422387        6905572742.93       0.140409398621       -125653774.278  
       Ombo   RiessHST      0.975    33.7432186472    15.0   53378.9994631      24.8776593283   1.64981697806e-06     -0.145742336647       0.170982897828        8.50928945475     5.67417865827     6.06526497418           0.0366279636965        0.0364070708012   1.77555944188e-07   1.98354262875e-07       1.37064619794       1.20273222766       3.57733588985       3.93558830703   0.0908048219244   0.0988935070302   -8.45006470236e-07             0.0533589637642       -7.06396721405        19.5303438457        0.37057190714    1.40592446872e-07   -5.81276812848e-07   -1.48441334007e-08       -0.00992998569754           0.0297110718336           0.00114813413527       -3.87759565693     -0.0569666771334       0.262877560267  
       Gabi   RiessHST       1.12    5.78545223546    10.0   53483.1955767      25.0919657863   1.64805139437e-06       2.39448065818      -0.183775454717       -5.37560277785     1.98640634986     1.29656755225           0.0349051002739        0.0343916542978   5.78927752613e-08   5.34725070653e-08      0.737729799948      0.557858863982       2.26980057604       1.90030324842   0.0688267312817   0.0660491400058   -4.36010001693e-08             0.0179436286417       -1.29534727396        4.03664110051      0.0530609804402    6.56325678935e-09   -6.27213272539e-08   -1.69020631649e-09       -0.00169967726858           0.0296326464153           0.00090920344731       -1.23313095198      -0.011740634371      0.0859631784641  
  Aphrodite   RiessHST        1.3    24.3788397398    16.0   52556.4722671      25.7133827846   9.15352805558e-07     -0.206855383016      0.0528130881307        2.92993667917     4.85052744422     3.47694298302            0.046725248675         0.044740954285    4.7758254915e-08   4.52411202776e-08       1.23204084785      0.801097282525       3.04823278826       1.81100397139   0.0489031776093   0.0487064025838   -1.62845003336e-07              0.138994983512       -5.59662344877        14.2752875002      0.0870030613615    3.27992669186e-08   -1.04713363509e-07   -1.23260901755e-09        -0.0282280794808           0.0895681363532           0.00101154371821       -3.32081985817     -0.0117374520301      0.0578908731411  
      Elvis   RiessHST      0.839    12.6607315407    13.0   52783.9737037      23.9782967249   3.09615764686e-06     -0.599459949113      0.0601644392779         12.125640643      1.2605314408     1.06099256675            0.388226229127         0.337554464097   9.33935961501e-08   8.70099053788e-08      0.457850712363      0.402881942446       15.5373295007       6.60353644891   0.0438228974101   0.0424732932382   -6.38818470351e-08                 0.285343525      -0.543257840335       -5.40303299314       0.012402776667    2.18196518405e-08   -1.48617312089e-07   -2.71225652324e-09        -0.0939862748003            -4.73106833134          -0.00457999383329        1.93316435523    -0.00497252487693       0.165408019117  
      Vilas   RiessHST      0.935    29.1567828272    13.0   52728.6110739      21.0898315552   2.49867360876e-06      0.144489166005       0.148536391064        301.918668388     1.52800696721     1.38738442936             10.7958278632          12.0184694834    1.6376659744e-07   1.25296835822e-07      0.291665723684      0.290931876545   3.37070780779e+16   5.91882455009e+12   0.0876536369806   0.0786201226956   -1.96113457414e-07               3.45300282808      -0.303137198609    -2.5894761873e+14      0.0585731363975    1.43032090314e-08       -5236258.65531    -9.2347066585e-09          -0.13793703333        -2.62700120983e+16             0.197237869035   -2.01866931255e+13    -0.00386474404213       109889992807.0  
   Patuxent   RiessHST       0.97   0.744870961849     6.0   53199.5265376      24.9641141966   1.84775412516e-06      0.356857739472      -0.345363118196       -3.90843197808      11.798233123     11.9289376003             7.30087795899          7.38192228168   3.06556957331e-07   3.31186533295e-07       8.69526468108       8.19593959613       21971629698.0       10586237.9984     0.19952100226    0.190525950766    1.00579336128e-06               45.2173134271       -90.1714871482       -1553985999.32       -1.12266566424   -1.65945218439e-06       -49.6867403691   -4.27971638197e-08          -29.8460080761            -21155880607.4            -0.496811562868        1386401922.74        1.00876845324        19889740.3856  
  Torngasek   RiessHST      1.265    5.24278873482    10.0   52682.6381634      16.3407442668   9.85850765106e-07       3.28155537612      0.0178635379709        61832.5069288     5.56375656714     3.21585063456             10.3165037323          12.8179230178   9.04358156381e-08   7.67633864412e-08       2.79963936424       1.76222583613   4.89181922665e+14      192459043363.0    0.067495680041   0.0661431945603    1.45686338233e-08               21.2154445031       -12.6121344846   -5.90815865305e+12      -0.015378971618   -1.41119405594e-07        51705.3529034   -2.42515891855e-09          -6.90389024352        -4.87855671295e+14            0.0251271194047       242945570792.0       0.052832120324       149383455363.0  
      Eagle   RiessHST       1.02    12.7166489915    11.0   53296.7819124      24.9735234664   1.81968213486e-06     -0.193944940941      -0.078808091182        1.55584934951     1.76564641994     1.72005785409           0.0389712520519        0.0385219005193   7.01746433382e-08   6.88948799504e-08      0.565555973708      0.537105742768       1.37613666778       1.28502483175   0.0659078966521   0.0648999843522   -6.34928169173e-08             0.0326108754959      -0.886798791752        2.03160411443       0.023802564073    1.37755457808e-08   -6.64894027706e-08   -2.81196568446e-09       -0.00699563184299           0.0342653318963           0.00155839194505      -0.537491835438    -0.00452642099709       0.041598444759  
       7847       SDSS    0.21134     35.745300731    40.0   53681.9504226      21.1978140823   5.91198702502e-05      0.171057685979       0.124062616446       0.019007664818     1.45302675779     1.57450063367           0.0483305073987        0.0477296317312   2.90476847919e-06   2.79459654748e-06       0.90794860785      0.916378404531       1.55098536536       1.60046079381   0.0433127082461   0.0430701483327   -2.60070129618e-06             0.0378896021924      -0.967375486263        2.20288516752      0.0365943963284    8.07685422191e-07   -3.09315147952e-06   -1.00469217415e-07         -0.011261532854           0.0455826240091           0.00166001964767      -0.953931445074     -0.0148309231937      0.0398003964881  
